Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12637,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12637,20,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12637,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12630,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Count"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(count, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12630,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Count"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(count, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12626,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Page"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(page, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12626,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Page"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(page, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12622,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""OrderUserProjectsBy"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(orderUserProjectsBy, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12622,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""OrderUserProjectsBy"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(orderUserProjectsBy, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12618,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""State"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(state, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12618,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""State"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(state, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
